"id","datum","system","jahr","wochentag","ziehungszahlen","sonderzahlen","erstellt_am"
a974a61a-1846-41a1-aa8a-47ca740352b3,2025-07-19,swisslotto,2025,Saturday,"{4,9,22,31,33,40}",{3},2025-07-20 02:45:02.499
de883ce7-410f-458c-ac2d-235600bf20e2,2025-07-16,swisslotto,2025,Wednesday,"{12,13,22,33,38,40}",{4},2025-07-17 02:45:02.712
"50e1b168-5656-4dc3-9106-81bcd378ff96",2025-07-12,swisslotto,2025,Saturday,"{4,9,10,14,23,38}",{1},2025-07-13 02:45:02.624
"39ae41e9-18dd-4787-8ce4-56ea618d681c",2025-07-09,swisslotto,2025,Wednesday,"{3,6,8,28,29,30}",{4},2025-07-10 02:45:03.147
"7849f2ee-4e18-4be7-ab15-0bac581987af",2025-07-05,swisslotto,2025,Saturday,"{5,19,27,38,40,42}",{6},2025-07-06 02:45:02.959
"7d70cb34-b64e-411c-b273-a35a3b391242",2025-07-02,swisslotto,2025,Wednesday,"{6,29,31,33,36,40}",{4},2025-07-03 02:45:02.764
"22731d95-d87d-49a2-b6ae-ac1b01936a9a",2025-06-28,swisslotto,2025,Saturday,"{2,14,29,33,37,40}",{2},2025-06-29 02:45:03.224
e2663151-8fdb-402f-b8fa-bd63b77d2071,2025-06-25,swisslotto,2025,Wednesday,"{9,17,18,24,34,37}",{1},2025-06-26 02:45:03.226
"6c9a62c2-5b9f-4b70-9e98-c85ef07f45d4",2025-06-21,swisslotto,2025,Saturday,"{12,14,20,27,31,41}",{1},2025-06-22 02:45:01.579
b04be0f6-daed-4bb6-9566-3688c93f3d75,2025-06-18,swisslotto,2025,Wednesday,"{1,7,9,21,38,40}",{5},2025-06-19 02:45:02.938
"521a8fa1-d096-43a0-98c1-535736e040d6",2025-06-14,swisslotto,2025,Saturday,"{23,27,31,36,38,41}",{6},2025-06-15 02:45:02.091
"70a9b8fd-a411-4dd5-bf55-a648467ba213",2025-06-11,swisslotto,2025,Wednesday,"{2,11,13,17,26,31}",{2},2025-06-12 02:45:02.944
"59c13866-4c25-4857-9b06-79dc605a66ec",2025-06-07,swisslotto,2025,Saturday,"{11,29,30,34,35,37}",{5},2025-06-08 02:45:03.520
"2442829b-4ab1-4a61-852f-3661640f5e22",2025-06-04,swisslotto,2025,Wednesday,"{3,21,22,36,39,41}",{2},2025-06-05 02:45:02.050
"2a1b2edf-8d6a-47c8-98f8-874872d9c67f",2025-05-31,swisslotto,2025,Saturday,"{9,14,31,38,39,41}",{4},2025-06-01 02:45:02.877
"2bef1022-c621-4486-a129-cc97ab0edf75",2025-05-28,swisslotto,2025,Wednesday,"{7,9,11,32,38,39}",{3},2025-05-29 02:45:04.553
b7055750-6d63-4410-8873-ea480abd2f79,2025-05-24,swisslotto,2025,Saturday,"{6,13,22,26,29,32}",{2},2025-05-25 02:45:03.310
a40e986a-bd6e-440d-8196-a158c4bebd1c,2025-05-21,swisslotto,2025,Wednesday,"{5,8,18,22,35,36}",{5},2025-05-22 02:45:01.926
"91900150-409f-495d-9134-adc599a60f38",2025-05-17,swisslotto,2025,Saturday,"{7,10,13,22,27,34}",{5},2025-05-18 02:45:03.118
"3f05fe59-5944-42b7-b7a8-3fe4c7432f28",2025-05-14,swisslotto,2025,Wednesday,"{6,16,20,26,29,36}",{2},2025-05-15 02:45:02.106
aee3a6f9-bef6-48b3-984d-3219e721078a,2025-05-10,swisslotto,2025,Saturday,"{2,10,12,22,38,41}",{2},2025-05-11 02:45:02.644
dffda43d-af2c-4fa8-b5e4-dd69f3f5f5bd,2025-05-07,swisslotto,2025,Wednesday,"{3,5,12,17,25,39}",{2},2025-05-08 02:45:01.572
af73092c-57b4-4950-aa6b-976958308ed9,2025-05-03,swisslotto,2025,Saturday,"{13,14,20,22,32,40}",{6},2025-05-04 02:45:01.900
d3fb728f-8187-4139-afbf-f259486bd18e,2025-04-30,swisslotto,2025,Wednesday,"{7,10,22,31,37,41}",{5},2025-05-01 02:45:02.023
"3f1a307a-268d-442b-84b8-72df9bc1a541",2025-04-26,swisslotto,2025,Saturday,"{6,8,14,18,37,41}",{4},2025-04-27 02:45:02.728
a15a52b5-2a69-4a83-8701-070eb8b84c76,2025-04-23,swisslotto,2025,Wednesday,"{4,9,20,23,33,40}",{6},2025-04-24 02:45:02.766
"5a288143-398e-4e7a-9a20-6d91b130cb73",2025-04-19,swisslotto,2025,Saturday,"{16,24,28,31,41,42}",{1},2025-04-19 19:21:00.004
"9a740860-08de-4a40-bc44-81eb667815b4",2025-04-16,swisslotto,2025,Wednesday,"{13,20,24,30,33,42}",{6},2025-04-18 14:29:57.580
"0b5d9af3-4a8f-41a3-8a4d-0d5f07f9cdd0",2025-04-12,swisslotto,2025,Saturday,"{10,15,28,36,38,40}",{5},2025-04-18 10:53:35.052
"0f655bf9-fcab-4033-a1cf-d4ab411c3d77",2025-04-09,swisslotto,2025,Wednesday,"{8,11,22,31,32,42}",{6},2025-04-18 10:53:35.052
"2170b141-7356-4770-b482-d48973333577",2025-04-05,swisslotto,2025,Saturday,"{1,4,5,18,29,36}",{6},2025-04-18 10:53:35.052
"6deae5a3-bc99-4dd6-b765-59cb11d470d4",2025-04-02,swisslotto,2025,Wednesday,"{1,25,29,38,40,42}",{1},2025-04-18 10:53:35.052
"47060bf9-5ba3-469d-871a-cfe5810ede2f",2025-03-29,swisslotto,2025,Saturday,"{17,23,26,28,40,41}",{2},2025-04-18 10:53:35.052
aa08cab3-b531-42d7-8944-235acd4d3e0e,2025-03-26,swisslotto,2025,Wednesday,"{5,20,23,30,32,41}",{3},2025-04-18 10:53:35.052
dae978bd-a6a3-4a2b-98d3-4774ffb85bc9,2025-03-22,swisslotto,2025,Saturday,"{2,3,5,12,40,41}",{6},2025-04-18 10:53:35.052
"701255ba-20a4-42e5-bdb6-09194fea3835",2025-03-19,swisslotto,2025,Wednesday,"{15,16,19,20,23,25}",{3},2025-04-18 10:53:35.052
"4046a82e-1e24-4aa6-a254-b063486bdd41",2025-03-15,swisslotto,2025,Saturday,"{3,27,31,33,36,39}",{5},2025-04-18 14:11:42.857
"9982024b-b899-4084-b7bb-d1abf6460ae6",2025-03-12,swisslotto,2025,Wednesday,"{23,27,29,33,38,41}",{6},2025-04-18 10:53:35.052
efd01c3f-ec3f-4444-807d-7fa07175d33c,2025-03-08,swisslotto,2025,Saturday,"{9,15,20,24,25,30}",{3},2025-04-18 10:53:35.052
b7ad0552-dde1-48a6-b1d3-e24e35d0af69,2025-03-05,swisslotto,2025,Wednesday,"{12,17,21,23,36,38}",{1},2025-04-18 10:53:35.052
"86854212-27b6-456a-a223-6abf2e6f18e1",2025-03-01,swisslotto,2025,Saturday,"{13,14,20,24,34,37}",{2},2025-04-18 10:53:35.052
"16be35c8-fc03-4413-9cdf-9c5ef0cc2728",2025-02-26,swisslotto,2025,Wednesday,"{4,6,8,13,20,34}",{3},2025-04-18 10:53:35.052
b5b166a7-0e82-4729-aa46-95a383020e02,2025-02-22,swisslotto,2025,Saturday,"{2,10,13,19,31,42}",{3},2025-04-18 10:53:35.052
"47473009-f68c-42a3-ba7a-89e3177b6303",2025-02-19,swisslotto,2025,Wednesday,"{12,17,21,23,34,40}",{1},2025-04-18 10:53:35.052
