id,datum,system,jahr,wochentag,ziehungszahlen,sonderzahlen,erstellt_am
e2663151-8fdb-402f-b8fa-bd63b77d2071,2025-06-25,swisslotto,2025,Wednesday,"[9, 17, 18, 24, 34, 37]",[1],2025-06-26 02:45:03.226392
22731d95-d87d-49a2-b6ae-ac1b01936a9a,2025-06-28,swisslotto,2025,Saturday,"[2, 14, 29, 33, 37, 40]",[2],2025-06-29 02:45:03.224135
7d70cb34-b64e-411c-b273-a35a3b391242,2025-07-02,swisslotto,2025,Wednesday,"[6, 29, 31, 33, 36, 40]",[4],2025-07-03 02:45:02.764535
7849f2ee-4e18-4be7-ab15-0bac581987af,2025-07-05,swisslotto,2025,Saturday,"[5, 19, 27, 38, 40, 42]",[6],2025-07-06 02:45:02.959081
39ae41e9-18dd-4787-8ce4-56ea618d681c,2025-07-09,swisslotto,2025,Wednesday,"[3, 6, 8, 28, 29, 30]",[4],2025-07-10 02:45:03.147652
50e1b168-5656-4dc3-9106-81bcd378ff96,2025-07-12,swisslotto,2025,Saturday,"[4, 9, 10, 14, 23, 38]",[1],2025-07-13 02:45:02.624265
de883ce7-410f-458c-ac2d-235600bf20e2,2025-07-16,swisslotto,2025,Wednesday,"[12, 13, 22, 33, 38, 40]",[4],2025-07-17 02:45:02.712645
a974a61a-1846-41a1-aa8a-47ca740352b3,2025-07-19,swisslotto,2025,Saturday,"[4, 9, 22, 31, 33, 40]",[3],2025-07-20 02:45:02.499706
dec6b473-a334-4d12-8811-a6ce1ecff9e2,2025-07-23,swisslotto,2025,Wednesday,"[1, 21, 24, 33, 35, 37]",[5],2025-07-24 02:45:02.748210
6fc707bb-9fef-44f0-aeea-7ad884baf6fe,2025-07-26,swisslotto,2025,Saturday,"[2, 4, 17, 25, 36, 37]",[5],2025-07-27 02:45:02.986045
982a9af5-07ff-4288-a507-6c172e83858f,2025-07-30,swisslotto,2025,Wednesday,"[4, 10, 21, 25, 37, 39]",[5],2025-07-31 02:45:02.181996
d44874e4-084f-4e47-adba-15fa7655d4fd,2025-08-02,swisslotto,2025,Saturday,"[8, 11, 18, 23, 25, 41]",[6],2025-08-03 02:45:03.161802
3db6e623-dd22-4205-9a90-c12fb7d325d3,2025-08-06,swisslotto,2025,Wednesday,"[5, 21, 25, 29, 37, 42]",[5],2025-08-07 02:45:01.830306
2731a638-8608-4b5b-b0d7-1008c6668692,2025-08-09,swisslotto,2025,Saturday,"[15, 17, 28, 32, 35, 42]",[5],2025-08-10 02:45:03.238366
87f97520-c6e3-4aa9-8ee9-96e9e1a738be,2025-08-13,swisslotto,2025,Wednesday,"[3, 11, 18, 20, 25, 31]",[5],2025-08-14 02:45:03.118486
884bd380-7f70-480d-8f15-54b9b4d876ff,2025-08-16,swisslotto,2025,Saturday,"[3, 10, 11, 13, 14, 32]",[4],2025-08-17 02:45:03.014875
bd4e91f1-8cdd-427e-a5da-08f9e0049a64,2025-08-20,swisslotto,2025,Wednesday,"[2, 14, 16, 21, 32, 37]",[5],2025-08-21 02:45:01.821513
c86cda90-54e2-4664-ba7d-f44d6557f4ed,2025-08-23,swisslotto,2025,Saturday,"[1, 4, 13, 14, 21, 39]",[2],2025-08-24 02:45:02.150203
90ca7b51-0993-4534-893a-ca0c82b3c331,2025-08-27,swisslotto,2025,Wednesday,"[2, 14, 24, 35, 37, 42]",[5],2025-08-28 02:45:02.315795
1013ad1c-b9c1-4a75-98ad-0fa0190850e2,2025-08-30,swisslotto,2025,Saturday,"[9, 14, 18, 26, 36, 40]",[6],2025-08-31 02:45:02.266267
65cfd318-dbed-4536-8b89-44f628e2ac4e,2025-09-03,swisslotto,2025,Wednesday,"[5, 9, 20, 21, 22, 23]",[3],2025-09-04 02:45:03.434930
b4f45a67-c1c5-4a0c-9bcc-94c0f47896b8,2025-09-06,swisslotto,2025,Saturday,"[13, 17, 18, 28, 35, 42]",[1],2025-09-07 02:45:03.560348
a5803bdb-c234-4ceb-b45b-2d558a04df64,2025-09-10,swisslotto,2025,Wednesday,"[21, 22, 27, 28, 33, 38]",[5],2025-09-11 02:45:03.095685
d56bf98d-1750-4671-8f33-3fa9bd0f5b7d,2025-09-13,swisslotto,2025,Saturday,"[8, 12, 24, 32, 35, 39]",[5],2025-09-14 02:45:01.758660
4912063a-3367-4bfd-b7eb-bfb20059b5e5,2025-09-17,swisslotto,2025,Wednesday,"[3, 7, 14, 28, 29, 40]",[4],2025-09-18 02:45:03.444720
13bf1eba-3d2e-4e9c-9de9-2d1bb98dd444,2025-09-20,swisslotto,2025,Saturday,"[3, 8, 9, 11, 17, 24]",[6],2025-09-21 02:45:03.048983
4d72da86-464e-4985-b5ca-4b3e5e8773d8,2025-09-24,swisslotto,2025,Wednesday,"[8, 13, 26, 30, 31, 41]",[3],2025-09-25 02:45:02.353207
